,x_0,y_0,seed,learning_rate,minimizer,n_iter,did_converge,distance
0,0.21385737975062735,1.038418470063296,1000,1.0,RMSProp,5,True,0.052538417
1,0.21385737975062735,1.038418470063296,1000,1.0,SGD,18,False,
2,0.21385737975062735,1.038418470063296,1000,1.0,ADAM,41,True,0.06442416
3,1.1259492856995088,-4.842995321796685,1001,1.0,RMSProp,10001,False,0.7071064
4,1.1259492856995088,-4.842995321796685,1001,1.0,SGD,17,False,
5,1.1259492856995088,-4.842995321796685,1001,1.0,ADAM,72,True,0.060769163
6,-1.191788405168841,-1.4281066232905304,1002,1.0,RMSProp,10001,False,0.70710635
7,-1.191788405168841,-1.4281066232905304,1002,1.0,SGD,17,False,
8,-1.191788405168841,-1.4281066232905304,1002,1.0,ADAM,64,True,0.0174747
9,-3.122426317313666,-2.432941897811779,1003,1.0,RMSProp,4,True,0.036748778
10,-3.122426317313666,-2.432941897811779,1003,1.0,SGD,17,False,
11,-3.122426317313666,-2.432941897811779,1003,1.0,ADAM,59,True,0.016609829
12,-4.99119547259285,-3.6984868787236858,1004,1.0,RMSProp,6,True,0.005093619
13,-4.99119547259285,-3.6984868787236858,1004,1.0,SGD,17,False,
14,-4.99119547259285,-3.6984868787236858,1004,1.0,ADAM,65,True,0.019099966
15,-4.177808269321063,4.305620423886037,1005,1.0,RMSProp,4,True,0.012548884
16,-4.177808269321063,4.305620423886037,1005,1.0,SGD,17,False,
17,-4.177808269321063,4.305620423886037,1005,1.0,ADAM,69,True,0.026961615
18,-1.6307856642717553,1.008569437996548,1006,1.0,RMSProp,10001,False,0.70710653
19,-1.6307856642717553,1.008569437996548,1006,1.0,SGD,17,False,
20,-1.6307856642717553,1.008569437996548,1006,1.0,ADAM,49,True,0.027312156
21,-4.287750625391142,3.159803451779432,1007,1.0,RMSProp,5,True,0.001267125
22,-4.287750625391142,3.159803451779432,1007,1.0,SGD,17,False,
23,-4.287750625391142,3.159803451779432,1007,1.0,ADAM,50,True,0.05855106
24,-3.3274725094538127,3.130507477287791,1008,1.0,RMSProp,2,True,0.0020573891
25,-3.3274725094538127,3.130507477287791,1008,1.0,SGD,17,False,
26,-3.3274725094538127,3.130507477287791,1008,1.0,ADAM,61,True,0.06484266
27,-4.434995379465607,-1.7308441232713823,1009,1.0,RMSProp,6,True,0.064176284
28,-4.434995379465607,-1.7308441232713823,1009,1.0,SGD,17,False,
29,-4.434995379465607,-1.7308441232713823,1009,1.0,ADAM,51,True,0.028526528
30,-4.050077170384277,0.35805731236843563,1010,1.0,RMSProp,4,True,0.013737165
31,-4.050077170384277,0.35805731236843563,1010,1.0,SGD,17,False,
32,-4.050077170384277,0.35805731236843563,1010,1.0,ADAM,38,True,0.011509478
33,-2.158751596495634,0.6332353550939551,1011,1.0,RMSProp,10001,False,0.7071066
34,-2.158751596495634,0.6332353550939551,1011,1.0,SGD,17,False,
35,-2.158751596495634,0.6332353550939551,1011,1.0,ADAM,49,True,0.01623575
36,-1.9367951672936101,2.8064668437799236,1012,1.0,RMSProp,10001,False,0.70710653
37,-1.9367951672936101,2.8064668437799236,1012,1.0,SGD,17,False,
38,-1.9367951672936101,2.8064668437799236,1012,1.0,ADAM,66,True,0.05571213
39,2.944929153061878,-4.210205284257439,1013,1.0,RMSProp,3,True,0.047988437
40,2.944929153061878,-4.210205284257439,1013,1.0,SGD,17,False,
41,2.944929153061878,-4.210205284257439,1013,1.0,ADAM,49,True,0.031902786
42,-0.6447599837720013,0.8570230530041458,1014,1.0,RMSProp,6,True,0.020192416
43,-0.6447599837720013,0.8570230530041458,1014,1.0,SGD,17,False,
44,-0.6447599837720013,0.8570230530041458,1014,1.0,ADAM,50,True,0.04027517
45,-1.4009706476594186,1.0706782860736528,1015,1.0,RMSProp,10001,False,0.7071065
46,-1.4009706476594186,1.0706782860736528,1015,1.0,SGD,17,False,
47,-1.4009706476594186,1.0706782860736528,1015,1.0,ADAM,57,True,0.02720325
48,-2.7200840328781464,-0.5730600890568862,1016,1.0,RMSProp,4,True,0.036709607
49,-2.7200840328781464,-0.5730600890568862,1016,1.0,SGD,17,False,
